experimento,algoritmo,secuencia1,secuencia2,longitud1,longitud2,tiempo,celdas,score
NW_random,NW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_3.fasta,10001,10001,119764,100490528,1107
SW_random,SW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_6.fasta,10001,10001,293104,100030002,1134
SW_random,SW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_6.fasta,10001,10001,171456,100170072,1134
SW_random,SW_C_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_6.fasta,10001,10001,164021,100330272,1134
SW_random,SW_C_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_6.fasta,10001,10001,225511,100490528,1134
SW_random,SW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_6.fasta,10001,10001,187417,100170072,1134
SW_random,SW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_6.fasta,10001,10001,155748,100330272,1134
SW_random,SW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_6.fasta,10001,10001,134208,100490528,1134
NW_random,NW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_6.fasta,10001,10001,291165,100030002,1106
NW_random,NW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_6.fasta,10001,10001,154353,100170072,1106
NW_random,NW_C_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_6.fasta,10001,10001,154482,100330272,1106
NW_random,NW_C_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_6.fasta,10001,10001,196990,100490528,1106
NW_random,NW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_6.fasta,10001,10001,157914,100170072,1106
NW_random,NW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_6.fasta,10001,10001,137595,100330272,1106
NW_random,NW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_6.fasta,10001,10001,119855,100490528,1106
SW_random,SW_C_LIN,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_3.fasta,16001,16001,749588,256048002,1890
SW_random,SW_C_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_3.fasta,16001,16001,447688,256272072,1890
SW_random,SW_C_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_3.fasta,16001,16001,491839,256528272,1890
SW_random,SW_C_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_3.fasta,16001,16001,620814,257041056,1890
SW_random,SW_ASM_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_3.fasta,16001,16001,475668,256272072,1890
SW_random,SW_ASM_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_3.fasta,16001,16001,400479,256528272,1890
SW_random,SW_ASM_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_3.fasta,16001,16001,339461,257041056,1890
NW_random,NW_C_LIN,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_3.fasta,16001,16001,711385,256048002,1850
NW_random,NW_C_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_3.fasta,16001,16001,396964,256272072,1850
NW_random,NW_C_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_3.fasta,16001,16001,394403,256528272,1850
NW_random,NW_C_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_3.fasta,16001,16001,507267,257041056,1850
NW_random,NW_ASM_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_3.fasta,16001,16001,402816,256272072,1850
NW_random,NW_ASM_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_3.fasta,16001,16001,354244,256528272,1850
NW_random,NW_ASM_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_3.fasta,16001,16001,306277,257041056,1850
SW_random,SW_C_LIN,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_1.fasta,16001,16001,748837,256048002,1869
SW_random,SW_C_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_1.fasta,16001,16001,440688,256272072,1869
SW_random,SW_C_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_1.fasta,16001,16001,414963,256528272,1869
SW_random,SW_C_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_1.fasta,16001,16001,572154,257041056,1869
SW_random,SW_ASM_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_1.fasta,16001,16001,479672,256272072,1869
SW_random,SW_ASM_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_1.fasta,16001,16001,398399,256528272,1869
SW_random,SW_ASM_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_1.fasta,16001,16001,338634,257041056,1869
